key_tempo;invoice_date;Ano;Mes;Dia;Trimestre
9319d625031eeda3ef7419c3425baa1eae9109c6dcf2693df3b6adee925563a4;2017-10-21;2017;10;21;4
96b00b805324a1a398451582fa09f84802d4bd7c5d463c16b1289b74770863cc;2018-06-18;2018;6;18;2
ab2c4827f0450d6e9970b8913387c0d076628c57ce461a356e2c886e298e6591;2018-08-06;2018;8;6;3
c878db62a0729363a023800d68d17ff98f2aa59134b763f7950e65ffbd4e89bf;2017-06-21;2017;6;21;2
3fee442c7809b9657b2ddcbc8522517bc982bfce31b5cde2cf24f825720b8b7c;2018-11-11;2018;11;11;4
035e1d6797ec3a6cee7a0453b64f152cb97d52da45c1f82aa049381096113ebb;2018-01-17;2018;1;17;1
d4d26d87c6c1b862d2bc5161887091c53cb6180d718936437ed1822b2e2986b0;2017-03-10;2017;3;10;1
f3fade976731b2a41770245e2f15a5c3a58d6609801f553fd83ea955783b955e;2017-12-09;2017;12;9;4
083bd7e1c0c96afc9e0ff43677eb79ec9d8dc8a703370c6e09cbc9308cf8f7b6;2017-05-07;2017;5;7;2
527c00587501eb2e81e3081fcbd599c22c25279530c6be179aa4caea8edc0dfd;2017-11-01;2017;11;1;4
85e7e312e24627e9b0586b348098e0bfbd9a62310ca84ae7932777c6ce63b5bb;2018-08-08;2018;8;8;3
0716e19965846e484b6c2944e379dbec596434bf06474bee8efe50e1fb81520d;2018-09-10;2018;9;10;3
978540e7ca14f923e422ad5262a26acec4a6d0fbb489eb5d91076c417e66f842;2018-12-10;2018;12;10;4
a27d502d73edd1e8a7e06ef5434e202f8759ed3dd8cd71b94b66af4a8194ee19;2018-05-30;2018;5;30;2
6e69406124de0e05a7f498e20e0787319a148e8aa8bc9d26898b7df315fcce6d;2019-02-07;2019;2;7;1
c84d8cea7ecc063533dd2e4cbc181781b511fd8af612cd93b006a341103d0988;2018-01-04;2018;1;4;1
35c0dc45d4b37245a9156009b2a878e7ef343dea002dff554408c6db8de5c02a;2017-06-14;2017;6;14;2
45191411b2598e7d84af96bf2f47eb505d666bbee737cab6870203c9ef0aaf22;2017-11-24;2017;11;24;4
48ca8dd2eb70ba3073f20d52baffcb9292d682f4bea4c7697536cc8f8fc5f961;2018-05-19;2018;5;19;2
6c99d3734cbfb86077c5f6076844aa582ad196010cc4f0b07b7e5c43230e733c;2018-06-06;2018;6;6;2
e436d6909cb62bf33f6774953dffe0200dc24359896d36fec1f52ba7bae27735;2017-02-26;2017;2;26;1
79040346030d1197069644c136c0bc99aaa0943ea3c9dd0637847026c9026704;2017-08-12;2017;8;12;3
e89d91ed2b370bfb7cb320488d5163dc80734b4a6c57a6c9bc0d03c0d2c1c998;2017-11-26;2017;11;26;4
5e11734fb042399609484bb480cc7825994ead857c461bb5a678b059e2358102;2018-10-24;2018;10;24;4
e1fe214f9722fa1a0811d1bae3382619adab08691fec43307f33f576c1cd7b22;2018-04-24;2018;4;24;2
955d875be18ef47fd4cc9efde22c654e3c97ba04a696d65374232499e3e2679d;2017-06-28;2017;6;28;2
c4b96e245eb62bb34fff4df61b691e2f2222c1bb1fdd6260d0f3d1bb5f4ed2ac;2017-07-19;2017;7;19;3
5d6fd3cab83182e8e428125ac2f316d19299bbba75c60c8d3e7948abfb942344;2018-03-07;2018;3;7;1
90fc36cd55280ee369b6959d72b7a5232d7874b6509f920e8a68151ebaef4fb6;2017-03-02;2017;3;2;1
0fd8597a85b464e16b3917bd007c66b74a1e93c73ffdba0ed872c53bd3603403;2019-01-31;2019;1;31;1
